F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0       1       0  1  80   0 -  6001 -      ?        00:00:01 systemd
1 S     0       2       0  0  80   0 -     0 -      ?        00:00:00 kthreadd
1 S     0       3       2  0  80   0 -     0 -      ?        00:00:00 pool_workqueue_release
1 I     0       4       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-rcu_gp
1 I     0       5       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-sync_wq
1 I     0       6       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-kvfree_rcu_reclaim
1 I     0       7       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-slub_flushwq
1 I     0       8       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-netns
1 I     0       9       2  0  80   0 -     0 -      ?        00:00:00 kworker/0:0-cgroup_free
1 I     0      10       2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:0H-events_highpri
5 I     0      11       2  0  80   0 -     0 -      ?        00:00:00 kworker/0:1-cgroup_free
5 I     0      12       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:0-events_unbound
1 I     0      13       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-mm_percpu_wq
1 S     0      14       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/0
1 I     0      15       2  0  80   0 -     0 -      ?        00:00:00 rcu_preempt
1 S     0      16       2  0  80   0 -     0 -      ?        00:00:00 rcu_exp_par_gp_kthread_worker/0
1 S     0      17       2  0  80   0 -     0 -      ?        00:00:00 rcu_exp_gp_kthread_worker
1 S     0      18       2  0 -40   - -     0 -      ?        00:00:00 migration/0
1 S     0      19       2  0   9   - -     0 -      ?        00:00:00 idle_inject/0
1 S     0      20       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/0
5 S     0      21       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/2
1 S     0      22       2  0   9   - -     0 -      ?        00:00:00 idle_inject/2
1 S     0      23       2  0 -40   - -     0 -      ?        00:00:00 migration/2
1 S     0      24       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/2
1 I     0      25       2  0  80   0 -     0 -      ?        00:00:00 kworker/2:0-events
1 I     0      26       2  0  60 -20 -     0 -      ?        00:00:00 kworker/2:0H-events_highpri
5 S     0      27       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/4
1 S     0      28       2  0   9   - -     0 -      ?        00:00:00 idle_inject/4
1 S     0      29       2  0 -40   - -     0 -      ?        00:00:00 migration/4
1 S     0      30       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/4
1 I     0      31       2  0  80   0 -     0 -      ?        00:00:00 kworker/4:0-events
1 I     0      32       2  0  60 -20 -     0 -      ?        00:00:00 kworker/4:0H-events_highpri
5 S     0      33       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/6
1 S     0      34       2  0   9   - -     0 -      ?        00:00:00 idle_inject/6
1 S     0      35       2  0 -40   - -     0 -      ?        00:00:00 migration/6
1 S     0      36       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/6
1 I     0      37       2  0  80   0 -     0 -      ?        00:00:00 kworker/6:0-events
1 I     0      38       2  0  60 -20 -     0 -      ?        00:00:00 kworker/6:0H-events_highpri
5 S     0      39       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/8
1 S     0      40       2  0   9   - -     0 -      ?        00:00:00 idle_inject/8
1 S     0      41       2  0 -40   - -     0 -      ?        00:00:00 migration/8
1 S     0      42       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/8
1 I     0      43       2  0  80   0 -     0 -      ?        00:00:00 kworker/8:0-cgroup_free
1 I     0      44       2  0  60 -20 -     0 -      ?        00:00:00 kworker/8:0H-events_highpri
5 S     0      45       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/9
1 S     0      46       2  0   9   - -     0 -      ?        00:00:00 idle_inject/9
1 S     0      47       2  0 -40   - -     0 -      ?        00:00:00 migration/9
1 S     0      48       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/9
1 I     0      49       2  0  80   0 -     0 -      ?        00:00:00 kworker/9:0-rcu_gp
1 I     0      50       2  0  60 -20 -     0 -      ?        00:00:00 kworker/9:0H-events_highpri
5 S     0      51       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/10
1 S     0      52       2  0   9   - -     0 -      ?        00:00:00 idle_inject/10
1 S     0      53       2  0 -40   - -     0 -      ?        00:00:00 migration/10
1 S     0      54       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/10
1 I     0      55       2  0  80   0 -     0 -      ?        00:00:00 kworker/10:0-events
1 I     0      56       2  0  60 -20 -     0 -      ?        00:00:00 kworker/10:0H-events_highpri
5 S     0      57       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/11
1 S     0      58       2  0   9   - -     0 -      ?        00:00:00 idle_inject/11
1 S     0      59       2  0 -40   - -     0 -      ?        00:00:00 migration/11
1 S     0      60       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/11
1 I     0      61       2  0  80   0 -     0 -      ?        00:00:00 kworker/11:0-events
1 I     0      62       2  0  60 -20 -     0 -      ?        00:00:00 kworker/11:0H-events_highpri
5 S     0      63       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/1
1 S     0      64       2  0   9   - -     0 -      ?        00:00:00 idle_inject/1
1 S     0      65       2  0 -40   - -     0 -      ?        00:00:00 migration/1
1 S     0      66       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/1
1 I     0      67       2  0  80   0 -     0 -      ?        00:00:00 kworker/1:0-events
